BugID,FI,NI,SI,RI,CC,ElapsedTime,CI,OE,OW,Priority
130418,4,0,6,5,5,26.559872685185184,6,684.0,0.0,2.0
130532,0,0,3,3,3,2739.781111111111,2,1184.0,4.0,2.0
130536,5,0,10,10,6,182.4282638888889,12,1141.0,4.0,3.0
130605,6,0,15,13,7,34.18913194444445,15,47.0,8.0,2.0
130644,14,0,91,43,15,6260.173020833333,31,52.0,6.0,2.0
130665,0,0,21,19,7,33.41423611111111,9,449.0,3.0,2.0
130719,20,0,190,164,21,2117.921759259259,40,384.0,7.0,4.0
130849,0,0,6,4,4,2479.720150462963,5,31.0,3.0,3.0
130853,6,0,15,10,7,210.2062037037037,11,1462.0,4.0,2.0
130894,0,0,6,6,4,4.343831018518519,9,1665.0,7.0,5.0
130944,0,0,15,15,6,5.094027777777778,6,389.0,2.0,2.0
130969,0,0,36,34,9,6259.110462962963,19,2275.0,9.0,2.0
131000,0,0,10,7,5,11.172245370370373,10,1670.0,2.0,4.0
131007,0,0,45,39,10,425.99984953703705,30,,0.0,2.0
131016,56,1,378,213,30,12.07324074074074,64,127.0,4.0,2.0
131020,9,0,36,31,10,33.8359837962963,28,528.0,8.0,4.0
131068,10,1,10,7,7,139.24045138888889,6,921.0,0.0,2.0
131153,11,0,55,37,12,150.36528935185186,68,746.0,22.0,4.0
131175,0,0,10,10,5,95.15185185185184,5,470.0,9.0,2.0
131182,4,0,6,5,5,674.13625,9,921.0,0.0,2.0
131230,0,0,55,53,11,17.440555555555555,15,2893.0,5.0,2.0
131238,0,0,15,15,6,21.163368055555555,9,2280.0,4.0,2.0
131293,0,0,10,10,5,431.98936342592594,8,2931.0,8.0,2.0
131320,0,0,3,2,3,2707.6602662037035,2,1183.0,5.0,1.0
131321,0,0,10,7,5,2700.709537037037,9,590.0,4.0,2.0
131323,0,0,6,5,4,2700.687048611111,5,1183.0,5.0,3.0
131324,0,0,1,1,2,2723.906736111111,1,1185.0,3.0,2.0
131390,0,0,6,4,4,3939.7852199074073,3,,0.0,2.0
131405,5,0,10,10,6,397.3905208333333,11,825.0,5.0,3.0
131443,0,0,3,2,3,415.2323958333333,3,555.0,1.0,2.0
131456,2576,1540,1035,344,102,7529.476770833333,223,2929.0,10.0,4.0
131470,24,1,66,47,14,660.9511574074074,36,97.0,7.0,5.0
131477,22,1,55,35,13,826.6840162037037,54,210.0,25.0,2.0
131480,11,0,55,26,12,1003.771273148148,20,98.0,6.0,4.0
131483,4,1,1,1,4,5345.741493055555,6,1184.0,4.0,2.0
131487,5,0,10,10,6,9.604618055555555,7,2389.0,3.0,4.0
131498,2,0,1,1,3,139.04484953703704,10,1668.0,4.0,2.0
131536,17,0,136,87,18,431.61635416666667,24,803.0,1.0,2.0
131604,6,0,15,11,7,1420.102523148148,11,1062.0,4.0,2.0
131626,0,0,45,44,10,18.81859953703704,23,2888.0,10.0,5.0
131633,0,0,3,3,3,310.3200347222222,10,1058.0,8.0,2.0
131651,0,0,55,46,11,631.1090856481482,14,1146.0,8.0,4.0
131696,5,0,10,9,6,231.4146990740741,8,988.0,4.0,4.0
131775,0,0,3,3,3,577.0383796296296,6,5432.0,12.0,2.0
131869,0,0,1,1,2,0.9669212962962964,2,650.0,2.0,2.0
131899,0,0,21,18,7,5.021087962962963,8,2931.0,8.0,2.0
131918,0,0,15,15,6,7.698229166666667,6,2282.0,2.0,5.0
132023,0,0,28,22,8,125.38481481481482,11,670.0,3.0,5.0
132154,0,0,21,21,7,6253.94712962963,7,2282.0,2.0,2.0
132175,8,0,28,24,9,204.6986689814815,13,1367.0,15.0,2.0
132255,6,0,15,11,7,2436.597824074074,17,,0.0,2.0
132262,0,0,15,15,6,8.36730324074074,6,2896.0,2.0,2.0
132264,0,0,3,2,3,2703.171203703704,4,1185.0,3.0,2.0
132300,6,0,15,14,7,140.22653935185184,19,628.0,2.0,2.0
132340,140,21,190,111,27,5216.501909722222,60,80.0,13.0,2.0
132395,0,0,6,3,4,2696.057094907407,4,1186.0,2.0,2.0
132430,0,0,66,62,12,144.88363425925925,56,1808.0,31.0,5.0
132431,0,0,78,68,13,6252.932222222223,21,668.0,5.0,4.0
132489,8,0,28,28,9,6252.720729166666,13,2268.0,16.0,2.0
132563,7,0,21,14,8,7256.108136574074,8,391.0,4.0,5.0
132583,0,0,36,32,9,58.14907407407407,20,599.0,5.0,5.0
132600,0,0,6,6,4,54.89063657407407,3,787.0,0.0,4.0
132610,0,0,1,1,2,42.13074074074074,4,1668.0,4.0,2.0
132621,0,0,3,2,3,0.2037847222222222,3,12.0,3.0,2.0
132653,0,0,6,6,4,4.766666666666667,4,987.0,5.0,2.0
132759,261,36,406,254,38,5397.614849537037,204,1805.0,34.0,5.0
132817,0,0,6,4,4,187.2869212962963,7,1671.0,1.0,2.0
133000,0,0,6,5,4,25.88734953703704,3,652.0,0.0,5.0
133008,0,0,10,8,5,222.40913194444445,4,989.0,3.0,4.0
133011,0,0,10,10,5,513.2178240740741,11,1667.0,5.0,2.0
133014,0,0,1,1,2,378.3035300925926,1,1672.0,0.0,2.0
133023,0,0,1,1,2,0.1874421296296296,1,176.0,3.0,2.0
133046,0,0,6,6,4,2692.802083333333,7,1184.0,4.0,2.0
133062,0,0,3,3,3,2692.645601851852,2,1184.0,4.0,2.0
133067,0,0,0,0,1,545.7594328703703,0,1186.0,2.0,2.0
133134,0,0,0,0,1,506.0033101851852,0,1186.0,2.0,3.0
133140,0,0,1,1,2,7.405254629629629,1,1185.0,3.0,2.0
133148,0,0,1,1,2,2743.019212962963,1,1185.0,3.0,4.0
133155,0,0,28,18,8,4309.85912037037,12,604.0,2.0,2.0
133179,0,0,1,1,2,2706.1710416666665,1,1183.0,5.0,5.0
133184,0,0,6,6,4,649.8551273148148,4,1671.0,1.0,2.0
133217,16,0,120,92,17,99.68454861111113,23,316.0,4.0,4.0
133233,0,0,10,10,5,30.88574074074074,6,1759.0,0.0,4.0
133241,0,0,15,13,6,2477.6828356481483,6,1462.0,4.0,4.0
133282,20,0,190,143,21,492.6537847222222,42,,0.0,2.0
133286,0,0,105,94,15,121.1379050925926,67,1791.0,9.0,2.0
133453,9,0,36,28,10,114.5261574074074,21,201.0,7.0,4.0
133472,0,0,15,7,6,128.44979166666667,8,1669.0,3.0,2.0
133506,13,0,78,73,14,6247.313587962963,23,207.0,7.0,2.0
133509,0,0,0,0,1,5.542013888888889,0,1182.0,6.0,4.0
133561,0,0,3,3,3,303.52122685185185,4,1669.0,3.0,2.0
133564,6,0,15,13,7,203.24435185185183,12,2283.0,1.0,2.0
133566,0,0,3,3,3,6870.117881944445,5,1378.0,4.0,2.0
133582,0,0,3,3,3,211.0285300925926,3,2282.0,2.0,2.0
133585,0,0,21,10,7,915.1445717592592,7,1671.0,1.0,2.0
133590,0,0,55,35,11,1102.7571064814815,26,144.0,12.0,2.0
133642,0,0,21,13,7,1831.037476851852,6,103.0,2.0,2.0
133651,0,0,15,15,6,9.707337962962963,6,1832.0,7.0,2.0
133662,0,0,1,1,2,201.6649884259259,1,1835.0,4.0,2.0
133713,0,0,10,10,5,138.36385416666667,8,763.0,5.0,2.0
133718,10,0,45,22,11,7495.79775462963,11,604.0,0.0,2.0
133751,4,0,6,6,5,56.18895833333333,15,,0.0,4.0
133787,108,36,66,40,21,7404.83619212963,31,,0.0,2.0
133863,19,0,171,133,20,22.664548611111112,51,16.0,9.0,4.0
133864,0,0,45,40,10,97.59873842592592,28,2888.0,10.0,4.0
133874,14,1,21,19,9,1589.572523148148,15,6.0,5.0,3.0
133965,0,0,0,0,1,669.3906712962963,0,1185.0,3.0,2.0
133974,0,0,0,0,1,3.6543171296296295,0,1183.0,5.0,6.0
133984,6,0,15,9,7,7295.189004629629,12,150.0,6.0,1.0
134017,1,0,0,0,2,0.1872685185185185,2,787.0,0.0,5.0
134066,0,0,36,36,9,711.9541550925926,10,2274.0,10.0,2.0
134123,2,0,1,1,3,17.707881944444445,3,786.0,1.0,5.0
134130,0,0,6,5,4,6.558194444444444,3,208.0,3.0,2.0
134317,44,1,231,158,24,260.4522685185185,34,389.0,2.0,4.0
134323,0,0,1,1,2,115.72755787037038,1,668.0,5.0,1.0
134342,0,0,3,3,3,2687.554317129629,2,1184.0,4.0,2.0
134370,0,0,21,21,7,127.49547453703704,16,822.0,8.0,4.0
134401,0,0,78,56,13,393.0943171296296,41,670.0,3.0,2.0
134436,7,0,21,10,8,7005.029976851852,22,0.0,9.0,2.0
134445,12,0,66,50,13,119.08671296296296,30,,0.0,2.0
134503,0,0,78,72,13,40.04152777777778,37,489.0,12.0,4.0
134523,0,0,153,102,18,212.3073611111111,68,1366.0,16.0,5.0
134599,0,0,0,0,1,573.1958680555556,0,1186.0,2.0,2.0
134600,0,0,1,1,2,2724.404004629629,1,1186.0,2.0,2.0
134606,0,0,3,3,3,2720.6163194444443,2,1187.0,1.0,4.0
134614,10,1,10,10,7,171.50751157407407,8,1074.0,7.0,2.0
134617,0,0,1,1,2,550.179212962963,2,1186.0,2.0,5.0
134667,0,0,3,1,3,67.74699074074074,3,828.0,2.0,2.0
134690,0,0,28,24,8,52.13136574074074,7,364.0,6.0,2.0
134693,0,0,6,6,4,14.281701388888887,5,787.0,0.0,2.0
134708,36,6,36,13,13,1297.7351736111111,18,4.0,5.0,2.0
134774,0,0,1,1,2,333.86429398148147,2,1670.0,2.0,2.0
134785,2,0,1,1,3,8.778888888888888,2,207.0,1.0,4.0
134787,0,0,6,6,4,6240.745532407407,3,2279.0,5.0,4.0
134814,8,0,28,21,9,1301.5841203703703,25,281.0,5.0,2.0
134875,0,0,6,4,4,168.12024305555556,3,2283.0,1.0,2.0
